,Unnamed: 0,Primary Instructor,Course Title,Subject,Number,Overall_GPA,Total_Students,A_range,B_range,C_range,D_range,F_range,YearTerm,Course Number,Type,Time,Days,Start_Time,Time_Category,Sentiment Score,synthetic_rating
0,24,"Bronski, Jared",Calculus II,MATH,231,2.9942081752591485,3190,35.931318486274094,38.08926185216871,19.56421893856991,4.579070352692896,1.8361303702943927,13,MATH 231,Lecture,09:00 AM - 09:50 AM,MWF,09:00:00,-1,0.9852,31.2823044302182
1,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lecture,ARRANGED,-,ARRANGED,1,0.9711,71.04054343462222
2,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lecture,ARRANGED,-,ARRANGED,1,0.9711,71.04054343462222
3,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lab/Discussion,10:00 AM - 10:50 AM,T,10:00:00,1,0.9711,71.04054343462222
4,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lab/Discussion,10:00 AM - 10:50 AM,T,10:00:00,1,0.9711,71.04054343462222
5,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lab/Discussion,11:00 AM - 11:50 AM,T,11:00:00,1,0.9711,71.04054343462222
6,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lab/Discussion,11:00 AM - 11:50 AM,T,11:00:00,1,0.9711,71.04054343462222
7,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lab/Discussion,01:00 PM - 01:50 PM,T,13:00:00,1,0.9711,71.04054343462222
8,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lab/Discussion,01:00 PM - 01:50 PM,T,13:00:00,1,0.9711,71.04054343462222
9,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lab/Discussion,02:00 PM - 02:50 PM,T,14:00:00,1,0.9711,71.04054343462222
10,30,"Challen, Geoffrey",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435785,4.359598039465912,2.485990167602128,3.361177772539391,8,CS 124,Lab/Discussion,02:00 PM - 02:50 PM,T,14:00:00,1,0.9711,71.04054343462222
